... -> 455 -> 450 -> 445
0 1 2 3 4 5 6 7 8 9 10 11 realVoltageProx voltageProx voltageDist degreesProx degreesDist
6.32687 6.20556 37.1884 4.97528 3.7315 28.2202 7.51227 21.839 1.82034 0 32.465 5.71383 450 450 240 26.9567 19.8565
6.07571 6.18559 39.1424 4.05807 3.59725 30.0968 7.05134 22.1898 2.22483 0 30.6696 7.10217 450 450 397 26.9567 19.8565
5.94988 6.17541 40.6194 4.59932 3.02992 27.5351 7.82055 21.8651 0.426848 0 30.7719 8.296 450 450 397 26.9567 19.8565
5.88671 6.17014 41.3579 4.86969 2.7461 26.2543 8.20472 21.7028 0 0 30.8231 8.89254 450 450 241 26.9567 19.8565
5.85488 6.16732 41.7271 5.00463 2.60403 25.6138 8.39638 21.6217 0 0 30.8486 9.19043 450 450 241 26.9567 19.8565
5.33871 5.16572 41.9118 3.57186 1.03285 23.2936 9.49179 21.0811 0 0 29.8614 7.33899 450 450 241 26.9567 19.8565
5.08042 4.66479 42.0041 2.85537 0.247295 22.1335 10.0395 20.8108 0 0 29.3678 6.41306 450 450 241 26.9567 19.8565
5.95106 7.91421 43.5502 4.49702 0.854549 22.0535 7.31334 22.6757 0.311223 0 26.621 7.94987 450 450 397 26.9567 19.8565
6.38609 9.53891 44.3233 5.31755 1.15809 22.0134 5.95004 23.6081 1.47058 0 25.2476 8.7179 450 450 397 26.9567 19.8565
6.60331 10.3513 44.7098 5.72752 1.30976 21.9934 5.26816 24.0743 2.05003 1.01918 24.5609 9.10153 450 450 397 26.9567 19.8565
5.21162 6.25744 41.4031 3.43221 1.38551 21.4834 7.427 21.8074 0 0 26.2176 7.29297 450 450 397 26.9567 19.8565
4.51562 4.21046 39.7497 2.2845 1.4233 21.2284 8.50641 20.674 0 0 27.0459 6.38847 450 450 272 26.9567 19.4248
5.16745 3.18691 39.9231 3.21059 0.942101 20.6009 10.0461 21.6072 0 0 27.4601 5.93601 450 450 273 26.9567 19.4248
5.49311 2.67507 40.0097 3.67344 0.701474 20.2872 10.816 22.0739 0 0 27.6671 5.70955 450 450 398 26.9567 19.8565
5.65569 2.41908 40.0531 3.90467 0.581132 20.1303 11.2009 22.3072 0 0 27.7707 5.59611 450 450 398 26.9567 19.8565
6.23673 2.29102 39.5747 3.02008 0.520933 22.5518 11.8934 21.9239 0 0 28.3224 6.53917 450 450 398 26.9567 19.8565
6.52696 2.22693 39.3355 2.57768 0.490805 23.7626 12.2396 21.7322 0 0 28.5983 7.0104 450 450 398 26.9567 19.8565
4.67177 4.69482 38.216 3.85638 0.975713 21.868 10.9127 26.6364 0.399191 0 29.2363 5.74571 450 450 398 26.9567 19.8565
3.74406 5.92854 37.6562 4.49549 1.21808 20.9207 10.2493 29.0884 2.51549 0 29.5552 5.11319 450 450 399 26.9567 19.8565
3.28008 6.54519 37.3763 4.81479 1.33917 20.4471 9.91755 30.3145 3.57324 0 29.7147 4.79675 450 450 399 26.9567 19.8565
1.54797 3.8533 35.7363 2.4742 1.89963 21.2102 10.2517 24.4275 1.10171 0 28.7945 6.63836 450 450 243 26.9567 19.8565
0.681925 2.50732 34.9164 1.3039 2.1797 21.5918 10.4188 21.484 0 0 28.3343 7.55882 450 450 399 26.9567 19.8565
0.248909 1.83429 34.5064 0.718737 2.31959 21.7826 10.5023 20.0123 0 0 28.1043 8.01871 450 450 244 26.9567 19.8565
0.0324093 7.49774 37.3014 1.42615 3.88938 25.378 9.04406 20.7764 0.439631 0 29.4892 9.24832 450 450 400 26.9567 19.8565
0 10.3295 38.6989 1.77976 4.67394 27.1757 8.31457 21.1585 1.03512 0 30.1817 9.86312 450 450 245 26.9567 19.8565
3.37005 9.24533 39.8976 0.956457 4.06589 28.0746 8.44945 21.3495 0 0 28.528 10.6705 450 450 120 26.9567 19.4248
5.0927 8.70302 40.497 0.544801 3.76165 28.524 8.51646 21.445 0 0 27.7011 11.0742 450 450 245 26.9567 19.8565
7.95373 7.43161 41.2967 3.33897 4.60931 24.2487 7.54954 22.4928 0.056444 0 28.7877 12.2761 450 450 402 26.9567 19.8565
9.38425 6.79572 41.6965 4.73575 5.03281 22.111 7.06576 23.0166 0.843657 0 29.3309 12.877 450 450 402 26.9567 19.8565
10.0995 6.47759 41.8965 5.43385 5.24422 21.0422 6.82354 23.2786 1.23712 0 29.6026 13.1775 450 450 278 26.9567 19.4248
8.95713 6.81834 41.9964 2.78261 4.34959 22.0078 7.7021 26.4095 0.933716 0 28.7384 10.3277 450 450 278 26.9567 19.4248
8.38561 6.9885 42.0464 1.45698 3.90207 22.4906 8.14096 27.975 0.781957 0 28.3063 8.90251 450 450 435 26.9567 19.4248
4.59951 3.57336 40.0714 0.794161 0.678091 21.232 10.86 22.7578 0 0 28.5903 7.68962 450 450 279 26.9567 19.4248
2.70643 1.86579 39.0839 0.462744 0 20.6027 12.2195 20.1491 0 0 28.7322 7.08292 450 450 279 26.9567 19.4248
1.75985 1.012 38.5901 0.29703 0 20.2881 12.8992 18.8448 0 0 28.8032 6.77931 450 450 405 26.9567 19.8565
2.78653 4.0851 41.3433 0.214166 0.857778 23.1307 9.73909 17.1927 0 0 30.3387 10.6272 450 450 405 26.9567 19.4248
3.2997 5.62143 42.7198 0.172728 2.1562 24.5521 8.1587 16.3666 0 0 31.1065 12.5512 450 450 124 26.9567 19.4248
5.55612 4.88938 40.4081 2.652 2.3052 23.7627 6.86818 21.4536 1.80534 0 31.4903 10.5132 450 450 405 26.9567 19.4248
