800
0 1 2 3 4 5 6 7 8 9 10 11 realVoltageProx voltageProx voltageDist degreesProx degreesDist
0 2.71404 0 0 1.14128 4.50427 0.534777 0 0.228212 2.36001 1.86895 0.470595 0 0 0 16.9567 24.173
0.697857 0 0 0 0 0 2.53475 0 0 0 0 0 0 0 0 16.0872 23.3097
0.69782 0 0 0 0 0 2.5346 0 0 0 0 0 0 0 0 16.0872 23.3097
0 3.71404 0 0 1.14144 0 1.53446 0 0.228541 2.36023 0 2.4708 0 0 0 16.0872 23.3097
0 3.71388 0 0 1.14137 0 1.53437 0 0.228527 2.36015 0 2.47069 0 0 0 16.0872 23.3097
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16.0872 23.3097
0 3.71372 0 0 1.14129 0 1.53429 0 0.228513 2.36008 0 2.47058 0 0 0 16.0872 23.3097
0.698156 0.713564 1.60766 0 1.14122 0 0.5342 0 1.2285 1.36 0.869202 0 0 0 0 16.0872 22.878
2.69812 0 0 1.92354 3.14115 0 1.53417 0 0 2.35996 1.86916 1.47054 0 0 0 16.0872 23.3097
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16.0872 23.3097
2.69797 0 0 1.92341 3.14095 0 1.53408 0 0 2.35989 1.86906 1.47047 0 0 0 16.0872 23.3097
2.69783 0 0 1.92327 3.14075 0 1.534 0 0 2.35981 1.86896 1.47041 0 0 0 16.0872 23.3097
0 1.7137 0 0 0 0.50467 1.53391 0 0.228566 0 0 0 0 0 0 16.0872 23.3097
0.697696 0 0 0.923285 2.1406 0 2.53382 0 0 0 0 0 0 0 0 16.0872 23.3097
0.697658 0 0 0.923222 2.14047 0 2.53368 0 0 0 0 0 0 0 0 16.0872 23.3097
0.697621 0 0 0.923159 2.14033 0 2.53354 0 0 0 0 0 0 0 0 16.0872 23.3097
0 1.71379 0 0 0 0 3.53339 1.87271 0.228881 0 1.86889 0 0 0 0 16.0872 23.3097
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16.0872 23.3097
1.69782 0 0 0 0 0 2.53319 0 0 0 0 0 0 0 0 16.0872 23.3097
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16.0872 23.3097
1.69772 0 0 0 0 0 2.53305 0 0 0 0 0 0 0 0 16.0872 23.3097
0 0.713994 0 0.923453 1.1408 0.504913 0 0.872624 1.22933 4.36054 1.86881 1.47113 0 0 0 16.0872 23.3097
0 0.713964 0 0.92339 1.14073 0.504891 0 0.872579 1.22926 4.3604 1.86871 1.47107 0 0 0 16.0872 23.3097
0 3.71393 0 1.92333 4.14066 4.50487 0 0.872534 2.22918 0 0.868618 1.471 0 0 0 16.0872 23.3097
0 3.71378 0 1.9232 4.1404 4.50467 0 0.872489 2.22904 0 0.868573 1.47093 0 0 0 16.0872 23.3097
0 3.71362 0 1.92306 4.14013 4.50447 0 0.872444 2.22891 0 0.868528 1.47087 0 0 0 16.0872 23.3097
1.69798 0 0 0 1.13987 0 0 1.8724 0 1.36033 0 0.470803 0 0 0 16.0872 23.3097
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16.0872 23.3097
0.697893 1.71347 1.6092 0 1.1398 2.50442 0 1.8723 0.228877 0 0 0.470781 0 0 0 16.0872 23.3097
0.697855 1.7134 1.60911 0 1.13972 2.50431 0 1.87221 0.228863 0 0 0.47076 0 0 0 16.0872 23.3097
0.697817 1.71333 1.60902 0 1.13965 2.5042 0 1.87211 0.228849 0 0 0.470739 0 0 0 16.0872 23.3097
0.697779 0 3.60893 0 0.139578 14.5041 0.533313 0 3.22883 1.36034 0 0 0 0 0 16.0872 23.3097
0.697741 0 3.60873 0 0.13957 14.5041 0.533283 0 3.22863 1.3603 0 0 0 0 0 16.0872 23.3097
0.697704 3.71345 1.60853 1.92296 2.13956 0.50409 0 1.87213 2.22843 1.36026 0 3.47086 0 0 0 16.0872 23.3097
0.697666 3.71329 1.60844 1.92283 2.13942 0.504067 0 1.87203 2.2283 1.36022 0 3.4707 0 0 0 16.0872 23.3097
0.697628 3.71313 1.60835 1.9227 2.13929 0.504045 0 1.87194 2.22816 1.36017 0 3.47054 0 0 0 16.0872 23.3097
0.69759 0.712977 0 1.92257 1.13915 0 0 0.871839 0.22802 1.36013 2.86932 0 0 0 0 16.0872 23.3097
0.697553 0.712946 0 1.92244 1.13908 0 0 0.871794 0.228006 1.36009 2.86917 0 0 0 0 16.0872 23.3097
0.697515 1.71292 1.60842 0 1.13901 1.50407 0 0 3.22799 0 0 4.47071 0 0 0 16.0872 23.3097
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16.0872 23.3097
0.697439 1.71277 1.60824 0 1.13886 1.50393 0 0 3.22759 0 0 4.4703 0 0 0 16.0872 23.3097
0 0 1.60815 2.92232 0.138789 2.50387 0.533464 0 3.22739 0 0 2.4701 0 0 0 16.0872 23.3097
0 0 1.60806 2.92212 0.138781 2.50376 0.533434 0 3.22719 0 0 2.46999 0 0 0 16.0872 23.3097
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16.0872 23.3097
0.697543 0 0 3.92192 0.138772 0 1.5334 2.87189 0 1.36027 0.86916 1.46988 0 0 0 16.0872 23.3097
0.697505 0 0 3.92165 0.138763 0 1.53332 2.87174 0 1.36023 0.869115 1.46982 0 0 0 16.0872 23.3097
0 0 0 0 0 0 3.53323 0 0 0 0.86907 0 0 0 0 16.0872 23.3097
0 0 0 0 0 0 3.53303 0 0 0 0.869026 0 0 0 0 16.0872 23.3097
0.698149 0 5.60806 3.92153 1.13912 4.50453 1.53283 3.87202 0.227308 1.36041 0 1.47007 0 0 0 16.0872 23.3097
0.698112 0 5.60774 3.92126 1.13905 4.50433 1.53274 3.87182 0.227294 1.36037 0 1.47 0 0 0 16.0872 23.3097
0.698074 0 5.60743 3.921 1.13897 4.50413 1.53266 3.87162 0.227279 1.36033 0 1.46994 800 0 0 16.0872 23.3097
0 0 0 0 2.1389 0 2.53257 0 0 0 2.869 0 800 0 0 16.0872 22.878
0 0 0 0 2.13876 0 2.53243 0 0 0 2.86885 0 800 0 0 16.522 24.173
2.69807 0 2.60772 0 0 0 3.53228 3.87143 0 0 1.8687 0.470008 800 0 0 16.522 23.3097
2.69792 0 2.60758 0 0 0 3.53208 3.87123 0 0 1.86861 0.469987 800 0 0 16.522 23.7413
0 0 0 0 0 0 0 0 0 0 0 0 800 0 0 16.522 23.3097
0 0 0.607432 0 2.13912 0 0.531885 0 0.227829 0 1.86851 0 800 0 0 16.522 23.7413
0 0 0.607398 0 2.13898 0 0.531855 0 0.227815 0 1.86841 0 800 0 0 16.522 23.7413
0 0 2.60736 0.921445 2.13885 2.50451 0 0.871042 0 2.36091 0 0.470013 800 0 0 16.9567 23.7413
0 0 2.60722 0.921381 2.13871 2.5044 0 0.870997 0 2.36084 0 0.469992 800 0 0 16.9567 23.3097
0 0 0.607075 1.92132 1.13858 0 0 0 2.2279 0 0 4.46997 800 0 0 16.9567 23.7413
0 0 0.607041 1.92119 1.1385 0 0 0 2.22776 0 0 4.46977 800 0 0 16.9567 23.7413
0 0 0.607007 1.92106 1.13843 0 0 0 2.22762 0 0 4.46957 800 0 0 16.9567 23.7413
0 0 0 0 0 0 1.53196 0 0 1.36082 0 0.469371 800 0 0 16.9567 23.7413
0 0 0 0 0 0 1.53187 0 0 1.36078 0 0.46935 800 0 0 16.9567 23.7413
0 0 0 0 1.13859 0 0 2.8713 1.22758 0 0 1.46933 800 0 0 17.3915 23.3097
0 0 0 0 1.13852 0 0 2.87115 1.2275 0 0 1.46926 800 0 0 17.3915 23.7413
0 0 0 0 1.13845 0 0 2.871 1.22743 0 0 1.4692 800 0 0 17.8263 23.3097
0 0 0 0 0 0 0 0 0 0 0 0 800 0 0 18.6959 23.7413
0 0 1.60725 2.92129 0 0 0 0 0.22735 3.3608 0 0 800 0 0 19.1307 23.3097
0 0 0 0 0 0 0.532059 0 0 0 0 0 800 0 0 19.5654 23.3097
0 0 0 0 0 0 0 0 0 0 0 0 800 0 0 20.435 23.3097
0 0 0 0 0 0 0.532029 0 0 0 0 0 800 0 0 20.8698 23.3097
0 0 0 0 0 0 0 0 0 2.36073 0 0 800 0 0 21.3046 22.878
0 0 0 0 0 0 0 0 0 2.36066 0 0 800 0 0 22.1741 23.7413
0 3.71637 0 0 0 0 0 0 0 3.36058 0 0 800 0 0 22.1741 23.3097
0 3.71621 0 0 0 0 0 0 0 3.36048 0 0 800 0 0 22.1741 23.7413
0 3.71606 0 0 0 0 0 0 0 3.36037 0 0 800 0 0 22.1741 22.878
3.70043 8.7159 5.60903 0.92202 3.13933 6.50668 0 0 0 6.36027 0.871335 6.47053 800 0 0 22.1741 23.3097
3.70023 8.71553 5.60872 0.921957 3.13913 6.50639 0 0 0 6.36007 0.87129 6.47024 800 0 0 22.1741 22.878
1.70003 1.71516 3.60841 1.92189 0.138926 0.506101 3.53332 1.87422 0 0 1.87124 3.46995 800 0 0 22.6089 22.878
1.69994 1.71509 3.60821 1.92176 0.138917 0.506079 3.53312 1.87412 0 0 1.87115 3.4698 800 0 0 22.6089 22.878
1.69985 1.71501 3.60801 1.92163 0.138908 0.506056 3.53292 1.87403 0 0 1.87105 3.46964 800 0 0 22.6089 22.4464
0 0 0 0 0 0 0 0 0 0 0 0 800 0 0 23.0437 22.878
1.69975 0.71494 0 0 0.138899 1.50603 3.53272 4.87393 0.229087 0 1.87095 1.46948 800 0 0 23.0437 22.4464
1.69966 0.71491 0 0 0.13889 1.50597 3.53252 4.87368 0.229073 0 1.87086 1.46942 800 0 0 23.0437 22.878
4.69957 6.71488 5.60785 0 2.13888 5.5059 5.53232 1.87343 0 0 4.87076 6.46935 800 0 0 23.0437 22.4464
4.69931 6.71459 5.60754 0 2.13875 5.50566 5.532 1.87333 0 0 4.87051 6.46906 800 0 0 23.0437 22.4464
4.69906 6.71431 5.60723 0 2.13861 5.50541 5.53169 1.87323 0 0 4.87026 6.46877 800 0 0 23.4785 22.4464
0 8.71402 1.60692 1.92255 5.13847 7.50517 0 2.87314 0 1.36066 0.870006 10.4685 800 0 0 23.4785 22.4464
0 8.71366 1.60683 1.92242 5.13815 7.50483 0 2.87299 0 1.36061 0.869961 10.468 800 0 0 23.4785 22.4464
