500 -> 700
0 1 2 3 4 5 6 7 8 9 10 11 realVoltageProx voltageProx voltageDist degreesProx degreesDist
5.00017 17.4 23.6311 1.0245 1.25413 8.92275 7.82638 14.0622 1.32471 0 17.9273 18.8633 500 0 0 26.0872 20.7198
0 0 0 0 0 0 0 0 0 0 0 0 500 0 0 25.6524 21.1514
2.99998 17.4 20.6311 3.02444 2.25402 5.92231 5.82585 5.06223 6.32464 0 19.9273 21.8633 500 0 0 25.6524 20.7198
2.99986 17.4 20.6311 3.02424 2.25383 5.92202 5.82547 5.06199 6.32426 0 19.9273 21.8633 500 0 0 25.6524 20.7198
0.999741 14.4 21.6311 0 0 6.92173 10.8251 14.0617 1.32388 0 18.9273 17.8633 500 0 0 25.6524 21.1514
10.9997 27.4 26.6311 3.02411 5.25378 9.92139 2.82508 12.0617 3.3238 1.44948 18.9273 22.8633 500 0 0 25.6524 21.1514
10.9993 27.4 26.6311 3.02391 5.25333 9.9209 2.82489 12.0617 3.32361 1.44939 18.9273 22.8633 500 0 0 25.6524 21.1514
10.9988 27.4 26.6311 3.02371 5.25288 9.92041 2.8247 12.0617 3.32341 1.44931 18.9273 22.8633 500 0 0 25.6524 21.1514
0.998407 14.4 31.6311 1.02352 1.25243 10.9199 7.82451 7.06175 0.323211 0 14.9273 24.8633 500 0 0 25.6524 21.1514
0.998367 14.4 31.6311 1.02345 1.25233 10.9194 7.82399 7.06141 0.323192 0 14.9273 24.8633 500 0 0 25.6524 20.7198
0 0 0 0 0 0 0 0 0 0 0 0 500 0 0 25.6524 21.1514
8.99833 12.4 17.6311 0 1.25222 7.91885 7.82347 9.06107 1.32317 0 24.9273 17.8633 500 0 0 25.6524 21.1514
8.99798 12.4 17.6311 0 1.25211 7.91846 7.82295 9.06063 1.32309 0 24.9273 17.8633 500 0 0 26.0872 21.1514
6.99762 13.4 23.6311 1.02364 0.252005 8.91807 8.82243 12.0602 0 0 19.9273 18.8633 500 0 0 26.0872 21.1514
6.99735 13.4 23.6311 1.02357 0.251984 8.91763 8.82184 12.0602 0 0 19.9273 18.8633 500 0 0 26.0872 21.1514
4.99707 15.4 20.6311 1.02351 2.25196 14.9172 7.82125 17.0602 0 0 16.9273 16.8633 500 0 0 26.0872 21.1514
0 0 0 0 0 0 0 0 0 0 0 0 500 0 0 26.0872 20.7198
4.99688 15.4 20.6311 1.02344 2.25177 14.9172 7.82073 17.0602 0 0 16.9273 16.8633 500 0 0 26.0872 21.1514
0 0 0 0 0 0 0 0 0 0 0 0 500 0 0 26.0872 20.7198
7.99668 18.4 24.6311 4.02337 4.25158 8.9172 6.82021 14.0602 4.32341 0.452726 20.9273 20.8633 500 0 0 26.0872 20.7198
5.99637 14.4 17.6311 0 2.25121 11.9168 7.81975 15.0602 3.32316 0 18.9273 15.8633 500 0 0 26.0872 21.1514
5.99613 14.4 17.6311 0 2.25102 11.9168 7.81923 15.0602 3.32296 0 18.9273 15.8633 500 0 0 25.6524 21.1514
5.9959 14.4 17.6311 0 2.25083 11.9168 7.81871 15.0602 3.32276 0 18.9273 15.8633 500 0 0 25.6524 21.1514
4.99566 21.4 25.6311 4.0233 0.250634 9.91676 5.81819 8.0602 0 0 20.9273 26.8633 500 0 0 26.0872 21.1514
4.99547 21.4 25.6311 4.02304 0.250613 9.91627 5.8178 8.05981 0 0 20.9273 26.8633 500 0 0 26.0872 21.1514
5.99527 19.4 24.6311 0.0227787 0 4.91578 9.81741 8.05942 0 0 17.9273 16.8633 500 0 0 25.6524 21.1514
5.99503 19.4 24.6311 0.0227772 0 4.91554 9.81676 8.05904 0 0 17.9273 16.8633 500 0 0 26.0872 21.1514
5.9948 19.4 24.6311 0.0227757 0 4.9153 9.8161 8.05865 0 0 17.9273 16.8633 500 0 0 25.6524 21.1514
8.99456 25.4 25.6311 4.02277 3.25104 12.9151 2.81545 13.0583 5.32294 3.45686 16.9273 24.8633 500 0 0 26.0872 21.1514
8.99421 25.4 25.6311 4.02251 3.25076 12.9151 2.81526 13.0583 5.32263 3.45665 16.9273 24.8633 500 0 0 26.0872 21.1514
8.99386 20.4 20.6311 1.02225 1.25048 6.91506 4.81507 8.05826 3.32231 0.456447 17.9273 20.8633 500 0 0 26.0872 21.1514
8.99351 20.4 20.6311 1.02218 1.25038 6.91472 4.81475 8.05787 3.32211 0.45642 17.9273 20.8633 500 0 0 26.0872 21.1514
8.99315 20.4 20.6311 1.02212 1.25027 6.91438 4.81443 8.05749 3.32192 0.456392 17.9273 20.8633 500 0 0 25.6524 21.1514
2.9928 25.4 24.6311 0.0220515 5.25016 9.91404 4.81411 14.0571 1.32172 0 18.9273 17.8633 500 0 0 26.0872 21.1514
2.99268 25.4 24.6311 0.0220501 5.24971 9.91355 4.81379 14.0571 1.32164 0 18.9273 17.8633 500 0 0 25.6524 21.1514
5.99256 20.4 24.6311 3.02205 0 10.9131 5.81347 13.0571 1.32156 0 16.9273 23.8633 500 0 0 25.6524 21.1514
0 0 0 0 0 0 0 0 0 0 0 0 500 0 0 25.6524 21.1514
5.99233 20.4 24.6311 3.02185 0 10.9125 5.81308 13.0571 1.32148 0 16.9273 23.8633 500 0 0 25.6524 20.7198
9.99209 18.4 24.6311 4.02166 0.249393 10.912 5.81269 14.0571 1.3214 0.457216 17.9273 22.8633 500 0 0 25.6524 20.7198
0 0 0 0 0 0 0 0 0 0 0 0 500 0 0 25.6524 21.1514
2.9917 16.4 22.6311 2.02139 4.24937 7.91145 5.81231 12.0571 0 0 20.9273 20.8633 500 0 0 25.6524 21.1514
2.99158 16.4 22.6311 2.02126 4.24901 7.91106 5.81192 12.0571 0 0 20.9273 20.8633 500 0 0 25.6524 21.1514
2.99147 16.4 22.6311 2.02113 4.24864 7.91067 5.81153 12.0571 0 0 20.9273 20.8633 500 0 0 25.6524 21.1514
3.99135 16.4 21.6311 6.021 3.24828 8.91028 5.81114 14.0571 2.32162 0 18.9273 21.8633 500 0 0 26.0872 21.5831
0 0 0 0 0 0 0 0 0 0 0 0 500 0 0 26.0872 21.1514
3.99119 20.4 26.6311 6.02061 2.248 12.9098 3.81076 12.0571 3.32149 0 17.9273 18.8633 500 0 0 26.0872 21.1514
3.99104 20.4 26.6311 6.02022 2.24781 12.9098 3.8105 12.0571 3.32129 0 17.9273 18.8633 500 0 0 26.0872 21.1514
3.99088 20.4 26.6311 6.01983 2.24762 12.9098 3.81025 12.0571 3.32109 0 17.9273 18.8633 500 0 0 26.0872 21.1514
7.99072 17.4 20.6311 2.01943 0 9.90984 9.80999 5.0571 1.32089 0 15.9273 17.8633 500 0 0 26.0872 21.1514
7.99041 17.4 20.6311 2.0193 0 9.90936 9.80934 5.05686 1.32082 0 15.9273 17.8633 500 0 0 26.0872 21.1514
0.990097 11.4 22.6311 1.01917 1.24772 6.90887 9.80869 6.05661 0.320737 0 17.9273 19.8633 700 0 0 26.0872 21.1514
0.990058 11.4 22.6311 1.0191 1.24762 6.90853 9.80803 6.05632 0.320718 0 17.9273 19.8633 700 0 0 26.0872 20.7198
0.990019 11.4 22.6311 1.01904 1.24751 6.90819 9.80738 6.05603 0.320699 0 17.9273 19.8633 700 0 0 26.0872 21.1514
6.98998 17.4 23.6311 3.01897 4.2474 7.90785 6.80673 10.0557 3.32068 0 17.9273 25.8633 700 0 0 26.0872 21.1514
6.98971 17.4 23.6311 3.01878 4.24704 7.90746 6.80627 10.0553 3.32048 0 17.9273 25.8633 700 0 0 26.0872 21.1514
2.98943 18.4 22.6311 3.01858 3.24668 3.90707 7.80582 13.0548 2.32028 0 20.9273 15.8633 700 0 0 26.0872 21.5831
2.98931 18.4 22.6311 3.01838 3.2464 3.90688 7.8053 13.0548 2.32015 0 20.9273 15.8633 700 0 0 26.0872 21.1514
2.9892 18.4 22.6311 3.01819 3.24612 3.90669 7.80478 13.0548 2.32001 0 20.9273 15.8633 700 0 0 26.0872 21.1514
0 0 0 0 0 0 0 0 0 0 0 0 700 0 0 26.0872 21.1514
4.98908 20.4 26.6311 4.01799 0.245844 10.9065 6.80426 14.0548 1.31987 0 20.9273 14.8633 700 0 0 26.522 21.1514
6.98888 21.4 25.6311 5.01773 3.24582 7.90596 5.8038 18.0548 2.31979 0 21.9273 25.8633 700 0 0 26.522 21.1514
6.98861 21.4 25.6311 5.0174 3.24554 7.90557 5.80342 18.0548 2.31965 0 21.9273 25.8633 700 0 0 26.522 21.1514
6.98834 21.4 25.6311 5.01708 3.24527 7.90518 5.80303 18.0548 2.31952 0 21.9273 25.8633 700 0 0 26.522 21.1514
9.98806 19.4 29.6311 5.01675 3.24499 8.90479 6.80264 16.0548 1.31938 0 23.9273 20.8633 700 0 0 26.9567 21.1514
0 0 0 0 0 0 0 0 0 0 0 0 700 0 0 26.9567 21.1514
9.98767 20.4 34.6311 4.01642 4.24471 6.90436 6.80219 14.0548 1.3193 0 19.9273 16.8633 700 0 0 26.9567 21.1514
9.98728 20.4 34.6311 4.01616 4.24435 6.90402 6.80174 14.0548 1.31922 0 19.9273 16.8633 700 0 0 27.3915 21.1514
9.98689 20.4 34.6311 4.0159 4.24398 6.90368 6.80128 14.0548 1.31914 0 19.9273 16.8633 700 0 0 27.3915 20.7198
2.98649 12.4 29.6311 0.0156403 2.24362 6.90334 7.80083 10.0548 1.31906 0 22.9273 16.8633 700 0 0 27.3915 20.7198
0 0 0 0 0 0 0 0 0 0 0 0 700 0 0 27.3915 20.7198
6.98638 15.4 37.6311 0 3.24343 10.903 3.80031 16.0543 3.31899 0 27.9273 20.8633 700 0 0 27.3915 20.2881
6.9861 15.4 37.6311 0 3.24315 10.9025 3.80006 16.0543 3.31879 0 27.9273 20.8633 700 0 0 27.3915 20.7198
0 0 0 0 0 0 0 0 0 0 0 0 700 0 0 27.8263 20.7198
6.98583 16.4 36.6311 0 1.24287 12.9019 6.7998 14.0543 0.318591 0 20.9273 21.8633 700 0 0 27.8263 20.7198
6.98555 16.4 36.6311 0 1.24277 12.9019 6.79935 14.0543 0.318572 0 20.9273 21.8633 700 0 0 27.8263 20.7198
7.98528 20.4 33.6311 0 0 6.90192 2.7989 16.0543 5.31855 3.46494 22.9273 18.8633 700 0 0 27.8263 20.7198
7.98497 20.4 33.6311 0 0 6.90159 2.79871 16.0543 5.31824 3.46473 22.9273 18.8633 700 0 0 27.8263 20.2881
7.98465 20.4 33.6311 0 0 6.90125 2.79852 16.0543 5.31792 3.46453 22.9273 18.8633 700 0 0 27.8263 20.7198
6.98434 18.4 34.6311 1.01661 4.24414 13.9009 8.79834 12.0543 0 0 28.9273 14.8633 700 0 0 28.2611 20.7198
6.98407 18.4 34.6311 1.01654 4.24378 13.9009 8.79775 12.0543 0 0 28.9273 14.8633 700 0 0 28.2611 20.2881
7.98379 16.4 33.6311 1.01648 4.24341 10.9009 6.79716 11.0543 1.3178 0 28.9273 15.8633 700 0 0 28.2611 20.2881
7.98348 16.4 33.6311 1.01641 4.24305 10.9004 6.79671 11.0538 1.31773 0 28.9273 15.8633 700 0 0 28.2611 20.2881
7.98317 16.4 33.6311 1.01634 4.24269 10.8998 6.79626 11.0532 1.31765 0 28.9273 15.8633 700 0 0 28.2611 20.2881
5.98285 13.4 34.6311 3.01628 0.242323 2.8993 7.7958 14.0527 1.31757 0 23.9273 17.8633 700 0 0 28.2611 20.2881
